reward,wiki_entries,price_min_chaos,price_max_chaos,price_display,listing_count,note
Mageblood,148,3496.0,736515.0,7.05 div-1485 div,2088,4 variants
Voices,4,716140.0,716140.0,1444 div,6004,4 variants
Xoph's Nurture,1,1.0,49610.0,1c-100 div,113,3 variants
Replica Alberon's Warpath,3,35557.0,35557.0,71.7 div,76,
Svalinn,1,22972.0,22972.0,46.3 div,374,
Wine of the Prophet,1,15981.0,15981.0,32.2 div,210,
Emperor's Mastery,7,14782.0,14782.0,29.8 div,93,
Nimis,9,11486.0,11486.0,23.2 div,493,
Progenesis,9,6992.0,6992.0,14.1 div,570,
Voidforge,1,3473.0,6747.0,7 div-13.6 div,156,3 variants
Emperor's Might,2,6292.0,6292.0,12.7 div,57,
Replica Farrul's Fur,2,2996.0,4495.0,6.04 div-9.06 div,94,2 variants
Craiceann's Carapace,1,9.1,4495.0,9.1c-9.06 div,126,3 variants
Stasis Prison,5,2747.0,3995.0,5.54 div-8.05 div,85,2 variants
The Celestial Brace,3,3995.0,3995.0,8.05 div,80,
Faithguard,1,3296.0,3296.0,6.64 div,111,
Dying Sun,3,2996.0,2996.0,6.04 div,1246,
Bottled Faith,3,2996.0,2996.0,6.04 div,806,
Sporeguard,1,1498.0,2497.0,3.02 div-5.03 div,43,3 variants
Annihilation's Approach,1,2497.0,2497.0,5.03 div,40,
The Fulcrum,3,496.1,2480.0,1 div-5 div,626,3 variants
Indigon,1,2347.0,2347.0,4.73 div,300,
Headhunter,22,1998.0,1998.0,4.03 div,1240,
Emperor's Wit,2,1998.0,1998.0,4.03 div,108,
Starforge,2,1488.0,1797.0,3 div-3.62 div,130,2 variants
Expedition's End,1,88.0,1748.0,88c-3.52 div,75,2 variants
Replica Covenant,1,325.0,1498.0,325c-3.02 div,63,2 variants
Echoforge,2,481.7,1488.0,482c-3 div,386,3 variants
Pillar of the Caged God,1,0.38,1389.0,0.38c-2.8 div,937,2 variants
The Annihilating Light,1,10.8,1091.0,11c-2.2 div,411,3 variants
Duskdawn,1,174.0,1042.0,174c-2.1 div,47,2 variants
The Squire,6,998.8,998.8,2.01 div,358,
The Covenant,3,55.0,998.8,55c-2.01 div,365,3 variants
Thousand Ribbons,1,6.1,998.8,6.1c-2.01 div,1841,3 variants
Kintsugi,1,8.0,998.8,8c-2.01 div,228,3 variants
Doryani's Prototype,1,99.0,998.8,99c-2.01 div,638,3 variants
Defiance of Destiny,1,998.8,998.8,2.01 div,1284,
Cane of Kulemak,2,50.9,992.2,51c-2 div,8963,3 variants
Pledge of Hands,1,74.5,992.2,74c-2 div,745,3 variants
Marohi Erqi,1,496.1,992.2,1 div-2 div,356,3 variants
Replica Badge of the Brotherhood,1,988.9,988.9,1.99 div,40,
Atziri's Disfavour,5,444.0,846.1,444c-1.71 div,174,3 variants
Dialla's Malefaction,3,209.4,674.0,209c-1.36 div,190,3 variants
Kalandra's Touch,11,600.0,600.0,1.21 div,454,
Blunderbore,2,18.7,575.0,19c-1.16 div,3037,3 variants
Crown of the Tyrant,2,550.0,550.0,1.11 div,316,
Cloak of Flame,2,10.0,550.0,10c-1.11 div,1475,3 variants
Belly of the Beast,1,3.0,549.3,3c-1.11 div,1387,3 variants
Sublime Vision,7,499.4,499.4,1.01 div,2657,
The Brass Dome,3,15.0,499.4,15c-1.01 div,556,3 variants
Hyrri's Ire,2,10.0,499.4,10c-1.01 div,1994,3 variants
Tinkerskin,1,2.0,499.4,2c-1.01 div,491,2 variants
The Fourth Vow,1,15.0,499.4,15c-1.01 div,597,3 variants
The Eternity Shroud,1,20.0,499.4,20c-1.01 div,244,3 variants
Fleshcrafter,1,6.8,499.4,6.8c-1.01 div,284,2 variants
Eternal Damnation,1,499.4,499.4,1.01 div,57,
Cloak of Defiance,1,14.0,499.4,14c-1.01 div,861,3 variants
